Disease ID	Disease Name	Disease ID	Gene ID	Gene/Location ID	Gene/Location Name	Allele	Genotype	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
		MIM:270400	MIM:602858					HP:0000518	Cataract																		
		MIM:270400	MIM:602858					HP:0000518	Cataract																		
		MIM:270400	MIM:602858					HP:0000678	Dental overcrowding																		
		MIM:270400	MIM:602858					HP:0000718	Aggressive behavior																		
		MIM:270400	MIM:602858					HP:0000964	Eczema																		
		MIM:270400	MIM:602858					HP:0000996	Facial capillary hemangioma	FMA:63194	Capillary	HP:0000329	Facial hemangioma														
		MIM:270400	MIM:602858					HP:0001159	Syndactyly	FMA:85518	Digit	PATO:0000642	fused with	FMA:85518	Digit												
		MIM:270400	MIM:602858					HP:0001162	Postaxial polydactyly (hands)																		
		MIM:270400	MIM:602858					HP:0001162	Postaxial polydactyly (hands)																		
		MIM:270400	MIM:602858					HP:0001249	Mental retardation																		
		MIM:270400	MIM:602858					HP:0001249	Mental retardation																		
		MIM:270400	MIM:602858					HP:0001250	Seizures																		
		MIM:270400	MIM:602858					HP:0001276	Hypertonia	FMA:30316	Muscle	PATO:0001618	increased tonicity														
		MIM:270400	MIM:602858					HP:0001508	Failure to thrive																		
		MIM:270400	MIM:602858					HP:0001508	Failure to thrive																		
		MIM:270400	MIM:602858					HP:0001509	Short stature	FMA:20394	Human body	PATO:0000569	decreased height														
		MIM:270400	MIM:602858					HP:0001558	Decreased fetal movement																		
		MIM:270400	MIM:602858					HP:0001608	Abnormality of the voice																		
		MIM:270400	MIM:602858					HP:0001623	breech presentation																		
		MIM:270400	MIM:602858					HP:0001629	Ventricular septal defect																		
		MIM:270400	MIM:602858					HP:0001629	Ventricular septal defect																		
		MIM:270400	MIM:602858					HP:0001631	Atrial septal defect																		
		MIM:270400	MIM:602858					HP:0001631	Atrial septal defect																		
		MIM:270400	MIM:602858					HP:0001643	Patent ductus arteriosus																		
		MIM:270400	MIM:602858					HP:0001643	Patent ductus arteriosus																		
		MIM:270400	MIM:602858					HP:0001680	Coarctation of aorta	FMA:3734	Aorta	PATO:0001847	constricted														
		MIM:270400	MIM:602858					HP:0001781	Short, broad toes			PATO:0000001	quality														
		MIM:270400	MIM:602858					HP:0001830	Postaxial polydactyly (feet)																		
		MIM:270400	MIM:602858					HP:0001830	Postaxial polydactyly (feet)																		
		MIM:270400	MIM:602858					HP:0001840	Metatarsus varus																		
		MIM:270400	MIM:602858					HP:0001845	Overriding toes																		
		MIM:270400	MIM:602858					HP:0001884	Talipes calcaneovalgus																		
		MIM:270400	MIM:602858					HP:0001939	Metabolism abnormality	GO:0008152	metabolic process	PATO:0000001	quality								PATO:0000460	abnormal					
		MIM:270400	MIM:602858					HP:0002013	Vomiting																		
		MIM:270400	MIM:602858					HP:0002019	Constipation	GO:0030421	defecation	PATO:0000381	decreased frequency														
		MIM:270400	MIM:602858					HP:0002021	Pyloric stenosis	FMA:14579	Pyloric antrum	PATO:0001847	constricted														
		MIM:270400	MIM:602858					HP:0002021	Pyloric stenosis	FMA:14579	Pyloric antrum	PATO:0001847	constricted														
		MIM:270400	MIM:602858					HP:0002033	Poor suck																		
		MIM:270400	MIM:602858					HP:0002079	Hypoplasia of the corpus callosum	FMA:86464	Corpus callosum	PATO:0000645	hypoplastic														
		MIM:270400	MIM:602858					HP:0002089	Pulmonary hypoplasia	FMA:68877	Pair of lungs	PATO:0000645	hypoplastic														
		MIM:270400	MIM:602858					HP:0002214	Blond hair																		
		MIM:270400	MIM:602858					HP:0002424	Frontal lobe hypoplasia	FMA:61824	Frontal lobe	PATO:0000645	hypoplastic														
		MIM:270400	MIM:602858					HP:0002424	Frontal lobe hypoplasia	FMA:61824	Frontal lobe	PATO:0000645	hypoplastic														
		MIM:270400	MIM:602858					HP:0002523	Hypotonia early																		
		MIM:270400	MIM:602858					HP:0002566	Intestinal malrotation	FMA:7199	Intestine	HP:0002566	Intestinal malrotation														
		MIM:270400	MIM:602858					HP:0002658	Stippled epiphyses	FMA:24012	Epiphysis	PATO:0001512	punctate														
		MIM:270400	MIM:602858					HP:0002827	Dislocated hips	FMA:24964	Hip	PATO:0001852	dislocated														
		MIM:270400	MIM:602858					HP:0004691	2-3 toe syndactyly																		
		MIM:270400	MIM:602858					HP:0004691	2-3 toe syndactyly																		
		MIM:270400	MIM:602858					HP:0007165	Periventricular gray matter heterotopias																		
		MIM:270400	MIM:602858					HP:0007165	Periventricular gray matter heterotopias																		
		MIM:270400	MIM:602858					HP:0007537	Severe photosensitivity																		
		MIM:270400	MIM:602858					HP:0009079	Hypoplastic tongue	FMA:54640	Tongue	PATO:0000645	hypoplastic														
		MIM:270400	MIM:602858					HP:0009623	Proximally placed thumb																		
		MIM:270400	MIM:602858					HP:0009753	Defective lung lobation																		
		MIM:270400	MIM:602858					HP:0009778	Hypoplastic/small thumb	FMA:24938	Thumb	PATO:0000645	hypoplastic														
		MIM:270400	MIM:602858					HP:0009778	Hypoplastic/small thumb	FMA:24938	Thumb	PATO:0000645	hypoplastic														
		MIM:270400	MIM:602858					HP:0009826	Hypoplasia involving bones of the extremities	FMA:7182	Limb	PATO:0000574	decreased length														
