Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
MIM:607684	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2E	MIM:162280	NEUROFILAMENT PROTEIN, LIGHT POLYPEPTIDE		NEFL	HP:0000006	Autosomal dominant inheritance			TAS	TAS							MIM:607684	HPO:probinson	Feb 17, 2009	
MIM:607684	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2E	MIM:162280	NEUROFILAMENT PROTEIN, LIGHT POLYPEPTIDE		NEFL	HP:0003431	Decreased motor nerve conduction velocity			TAS	TAS						Mild	MIM:607684	HPO:probinson	Mar 12, 2012	
MIM:607684	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2E	MIM:162280	NEUROFILAMENT PROTEIN, LIGHT POLYPEPTIDE		NEFL	HP:0002460	Distal muscle weakness			TAS	TAS							MIM:607684	HPO:probinson	Dec 14, 2013	
OMIM:607684	#607684 CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2E; CMT2E;;CHARCOT-MARIE-TOOTH NEUROPATHY, TYPE 2E					HP:0000508	Ptosis			IEA	IEA	rare					OMIM-CS:HEAD AND NECK_EYES > PTOSIS (IN SOME PATIENTS)	OMIM:607684	HPO:skoehler	26.07.2015
OMIM:607684	#607684 CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2E; CMT2E;;CHARCOT-MARIE-TOOTH NEUROPATHY, TYPE 2E					HP:0010628	Facial palsy			IEA	IEA	rare					OMIM-CS:HEAD AND NECK_FACE > FACIAL MUSCLE WEAKNESS (IN SOME PATIENTS)	OMIM:607684	HPO:skoehler	26.07.2015
OMIM:607684	#607684 CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2E; CMT2E;;CHARCOT-MARIE-TOOTH NEUROPATHY, TYPE 2E					HP:0000218	High palate			IEA	IEA	rare					OMIM-CS:HEAD AND NECK_MOUTH > HIGH-ARCHED PALATE (IN SOME PATIENTS)	OMIM:607684	HPO:skoehler	26.07.2015
OMIM:607684	#607684 CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2E; CMT2E;;CHARCOT-MARIE-TOOTH NEUROPATHY, TYPE 2E					HP:0009025	Increased connective tissue			IEA	IEA	rare					OMIM-CS:MUSCLE, SOFT TISSUE > INCREASED CONNECTIVE TISSUE (IN SOME PATIENTS)	OMIM:607684	HPO:skoehler	26.07.2015
OMIM:607684	#607684 CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2E; CMT2E;;CHARCOT-MARIE-TOOTH NEUROPATHY, TYPE 2E					HP:0003798	Nemaline bodies			IEA	IEA	rare					OMIM-CS:MUSCLE, SOFT TISSUE > NEMALINE RODS (IN SOME PATIENTS)	OMIM:607684	HPO:skoehler	26.07.2015
OMIM:607684	#607684 CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2E; CMT2E;;CHARCOT-MARIE-TOOTH NEUROPATHY, TYPE 2E					HP:0001270	Motor delay			IEA	IEA	rare					OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > DELAYED MOTOR DEVELOPMENT (IN SOME PATIENTS)	OMIM:607684	HPO:skoehler	26.07.2015
OMIM:607684	#607684 CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2E; CMT2E;;CHARCOT-MARIE-TOOTH NEUROPATHY, TYPE 2E					HP:0001371	Flexion contracture			IEA	IEA						OMIM-CS:SKELETAL > JOINT CONTRACTURES	OMIM:607684	HPO:skoehler	26.07.2015
OMIM:607684	#607684 CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2E; CMT2E;;CHARCOT-MARIE-TOOTH NEUROPATHY, TYPE 2E					HP:0002650	Scoliosis			IEA	IEA	rare					OMIM-CS:SKELETAL_SPINE > SCOLIOSIS (IN SOME PATIENTS)	OMIM:607684	HPO:skoehler	26.07.2015
