Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0000768	Pectus carinatum			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0001002	Decreased subcutaneous fat			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0001065	Striae distensae			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0001083	Ectopia lentis			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0000518	Cataract			PCS	PCS							OMIM:154700		Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0001166	Arachnodactyly			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0001372	Joint contractures			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0001382	Joint hypermobility			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0001462	Abnormality of external features of the abdomen			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0000098	Tall stature			TAS	TAS							MIM:154700	probinson	Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0001634	Mitral valve prolapse			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0001635	Congestive heart failure			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0001653	Mitral regurgitation			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0001659	Aortic regurgitation			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0001704	Tricuspid valve prolapse			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0001761	Pes cavus			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0001763	Pes planus			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0001765	Hammertoe			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0002097	Emphysema			TAS	TAS	Rare						MIM:154700	probinson	Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0002107	Pneumothorax			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0002616	Aortic root dilatation			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0002631	Ascending aortic aneurysm			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0002647	Aortic dissection			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0002751	Kyphoscoliosis			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0002816	Genu recurvatum			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0003088	Premature osteoarthritis			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0003179	Protrusio acetabuli			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0003199	Decreased muscle mass			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0003302	Spondylolisthesis			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0004872	Incisional hernia			IEA	IEA							MIM:154700		Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0004927	Pulmonary artery dilatation			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0005136	Premature calcification of mitral annulus			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0007676	Hypoplasia of the iris			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0007800	Increased axial globe length			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0008132	Medial rotation of the medial malleolus			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0000275	Narrow face			TAS	TAS							MIM:154700	probinson	May 1, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0000276	Long face			TAS	TAS							MIM:154700	probinson	May 1, 2012	
OMIM:154700	#154700 MARFAN SYNDROME; MFS;;MARFAN SYNDROME, TYPE I; MFS1					HP:0000501	Glaucoma			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > EARLY GLAUCOMA	OMIM:154700	HPO:skoehler	22.01.2013
OMIM:154700	#154700 MARFAN SYNDROME; MFS;;MARFAN SYNDROME, TYPE I; MFS1					HP:0001548	Overgrowth			IEA	IEA						OMIM-CS:SKELETAL_LIMBS > LONG BONE OVERGROWTH (DOLICHOSTENOMELIA)	OMIM:154700	HPO:skoehler	22.01.2013
OMIM:154700	#154700 MARFAN SYNDROME; MFS;;MARFAN SYNDROME, TYPE I; MFS1					HP:0100775	Dural ectasia			IEA	IEA						OMIM-CS:SKELETAL_SPINE > LUMBOSACRAL DURAL ECTASIA	OMIM:154700	HPO:skoehler	22.01.2013
