Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add 'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0000687												IEA							17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0000767												IEA							17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0000768												IEA							17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0001250												IEA	90.0000 %						17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0001252		FMA:30316		PATO:0001619								IEA		PATO:0001869					17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0001270												IEA							17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0001274				PATO:0001557		FMA:86464						IEA	42.0000 %						17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0001462												IEA							17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0001509		FMA:20394		PATO:0000569								IEA	50.0000 %						17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0001547		FMA:7480		PATO:0000051								IEA		PATO:0000460					17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0001569												IEA							17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0001595		FMA:53667		PATO:0000001								IEA		PATO:0000460					17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0001629		FMA:7133		PATO:0000609								IEA							17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0001631												IEA							17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0001642		FMA:8615		PATO:0000599								IEA							17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0001643												IEA							17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0001939		GO:0008152		PATO:0000001								IEA		PATO:0000460					17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0002013												IEA							17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0002019		GO:0030421		PATO:0000381								IEA	50.0000 %						17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0002079		FMA:86464		PATO:0000645								IEA							17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0002116												IEA	50.0000 %						17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0002251		FMA:14543		PATO:0000586		FMA:5884						IEA	62.0000 %						17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0002307												IEA							17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0002316												IEA	100.0000 %						17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0002342												ITM							17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0002558		FMA:67771		PATO:0000470								IEA							17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0002606												IEA	33.0000 %						17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0003270		FMA:9577		PATO:0001602								IEA							17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0003720				PATO:0000584								IEA	33.0000 %						17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0004415		FMA:66326		PATO:0001847								IEA							17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0004961												IEA							17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0005274		FMA:59518		PATO:0001482								IEA	50.0000 %						17.02.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0009748												IEA	50.0000 %						18.12.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0009909												IEA	50.0000 %						18.12.2009
MIM:235730	MOWAT-WILSON SYNDROME	MIM:605802			ZEB2	HP:0009766												IEA	50.0000 %						17.02.2009
