Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
MIM:604168	CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY	MIM:604927	C-TERMINAL DOMAIN OF RNA POLYMERASE II SUBUNIT A, PHOSPHATASE OF,		CTDP1	HP:0000007	Autosomal recessive inheritance			IEA	IEA									17.02.2009	
MIM:604168	CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY	MIM:604927	C-TERMINAL DOMAIN OF RNA POLYMERASE II SUBUNIT A, PHOSPHATASE OF,		CTDP1	HP:0002072	Chorea			IEA	IEA									17.02.2009	
MIM:604168	CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY	MIM:604927	C-TERMINAL DOMAIN OF RNA POLYMERASE II SUBUNIT A, PHOSPHATASE OF,		CTDP1	HP:0002751	Kyphoscoliosis			IEA	IEA									17.02.2009	
MIM:604168	CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY	MIM:604927	C-TERMINAL DOMAIN OF RNA POLYMERASE II SUBUNIT A, PHOSPHATASE OF,		CTDP1	HP:0002816	Genu recurvatum			IEA	IEA									17.02.2009	
MIM:604168	CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY	MIM:604927	C-TERMINAL DOMAIN OF RNA POLYMERASE II SUBUNIT A, PHOSPHATASE OF,		CTDP1	HP:0003431	Decreased motor nerve conduction velocity			IEA	IEA									17.02.2009	
MIM:604168	CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY	MIM:604927	C-TERMINAL DOMAIN OF RNA POLYMERASE II SUBUNIT A, PHOSPHATASE OF,		CTDP1	HP:0003487	Babinski sign			IEA	IEA									17.02.2009	
MIM:604168	CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY	MIM:604927	C-TERMINAL DOMAIN OF RNA POLYMERASE II SUBUNIT A, PHOSPHATASE OF,		CTDP1	HP:0000764	Peripheral axonal degeneration			IEA	IEA									17.02.2009	
MIM:604168	CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY	MIM:604927	C-TERMINAL DOMAIN OF RNA POLYMERASE II SUBUNIT A, PHOSPHATASE OF,		CTDP1	HP:0007182	Peripheral hypomyelination			IEA	IEA									17.02.2009	
MIM:604168	CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY	MIM:604927	C-TERMINAL DOMAIN OF RNA POLYMERASE II SUBUNIT A, PHOSPHATASE OF,		CTDP1	HP:0008214	Decreased serum estradiol			IEA	IEA									17.02.2009	
MIM:604168	CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY	MIM:604927	C-TERMINAL DOMAIN OF RNA POLYMERASE II SUBUNIT A, PHOSPHATASE OF,		CTDP1	HP:0008942	Acute rhabdomyolysis			IEA	IEA									17.02.2009	
MIM:604168	CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY	MIM:604927	C-TERMINAL DOMAIN OF RNA POLYMERASE II SUBUNIT A, PHOSPHATASE OF,		CTDP1	HP:0010620	Malar prominence			TAS	TAS							MIM:604168	HPO:probinson	11.04.2012	
MIM:604168	CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY	MIM:604927	C-TERMINAL DOMAIN OF RNA POLYMERASE II SUBUNIT A, PHOSPHATASE OF,		CTDP1	HP:0004322	Short stature			TAS	TAS							MIM:604168	HPO:probinson	11.04.2012	
MIM:604168	CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY	MIM:604927	C-TERMINAL DOMAIN OF RNA POLYMERASE II SUBUNIT A, PHOSPHATASE OF,		CTDP1	HP:0001263	Global developmental delay			TAS	TAS							MIM:604168	HPO:probinson	11.04.2012	
MIM:604168	CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY	MIM:604927	C-TERMINAL DOMAIN OF RNA POLYMERASE II SUBUNIT A, PHOSPHATASE OF,		CTDP1	HP:0007178	Motor polyneuropathy			TAS	TAS							MIM:604168	HPO:probinson	11.04.2012	
MIM:604168	CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY	MIM:604927	C-TERMINAL DOMAIN OF RNA POLYMERASE II SUBUNIT A, PHOSPHATASE OF,		CTDP1	HP:0003593	Infantile onset			TAS	TAS							MIM:604168	HPO:probinson	11.04.2012	
MIM:604168	CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY	MIM:604927	C-TERMINAL DOMAIN OF RNA POLYMERASE II SUBUNIT A, PHOSPHATASE OF,		CTDP1	HP:0011096	Peripheral demyelination			TAS	TAS							MIM:604168	HPO:probinson	11.04.2012	
OMIM:604168	#604168 CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY;;CCFDN;;CATARACT, CONGENITAL, WITH FACIAL DYSMORPHISM AND NEUROPATHY					HP:0001249	Intellectual disability			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > MENTAL RETARDATION	OMIM:604168	HPO:skoehler	17.10.2012
OMIM:604168	#604168 CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY;;CCFDN;;CATARACT, CONGENITAL, WITH FACIAL DYSMORPHISM AND NEUROPATHY					HP:0000815	Hypergonadotropic hypogonadism			IEA	IEA						OMIM-CS:ENDOCRINE FEATURES > HYPERGONADOTROPHIC HYPOGONADISM	OMIM:604168	HPO:skoehler	17.07.2013
OMIM:604168	#604168 CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY;;CCFDN;;CATARACT, CONGENITAL, WITH FACIAL DYSMORPHISM AND NEUROPATHY					HP:0000786	Primary amenorrhea			IEA	IEA	rare					OMIM-CS:GENITOURINARY_INTERNAL GENITALIA, FEMALE > PRIMARY AMENORRHEA (IN SOME PATIENTS)	OMIM:604168	HPO:skoehler	17.07.2013
OMIM:604168	#604168 CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY;;CCFDN;;CATARACT, CONGENITAL, WITH FACIAL DYSMORPHISM AND NEUROPATHY					HP:0008734	Decreased testicular size			IEA	IEA	rare					OMIM-CS:GENITOURINARY_INTERNAL GENITALIA, MALE > SMALL TESTES (IN SOME PATIENTS	OMIM:604168	HPO:skoehler	17.07.2013
OMIM:604168	#604168 CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY;;CCFDN;;CATARACT, CONGENITAL, WITH FACIAL DYSMORPHISM AND NEUROPATHY					HP:0100543	Cognitive impairment			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > COGNITIVE DEFICITS	OMIM:604168	HPO:skoehler	04.04.2014
