Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
MIM:220500	DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATION					HP:0000007	Autosomal recessive inheritance			TAS	TAS							OMIM:220500	probinson	17.02.2009	
MIM:220500	DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATION					HP:0001249	Intellectual disability			IEA	IEA									17.02.2009	
MIM:220500	DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATION					HP:0001250	Seizures			IEA	IEA									17.02.2009	
MIM:220500	DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATION					HP:0001252	Muscular hypotonia			IEA	IEA									17.02.2009	
MIM:220500	DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATION					HP:0001729	Congenital hearing loss			IEA	IEA									17.02.2009	
MIM:220500	DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATION					HP:0001798	Anonychia			TAS	TAS						Small or absent nails	OMIM:220500	probinson	17.02.2009	
MIM:220500	DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATION					HP:0002164	Nail dysplasia			IEA	IEA									17.02.2009	
MIM:220500	DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATION					HP:0002714	Downturned corners of mouth			IEA	IEA									17.02.2009	
MIM:220500	DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATION					HP:0008384	Aplastic/hypoplastic fingernail			IEA	IEA									17.02.2009	
MIM:220500	DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATION					HP:0008530	Bilateral sensorineural deafness			TAS	TAS							OMIM:220500	probinson	17.02.2009	
MIM:220500	DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATION					HP:0008538	Deafness, sensorineural, profound			IEA	IEA									17.02.2009	
MIM:220500	DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATION					HP:0009086	Thick, everted lower lip			IEA	IEA									17.02.2009	
MIM:220500	DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATION					HP:0011476	Profound sensorineural hearing impairment			TAS	TAS							OMIM:220500	probinson	16.07.2012	
OMIM:220500	%220500 DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATIONSYNDROME;;DOOR SYNDROME;;DIGITORENOCEREBRAL SYNDROME;;DRC SYNDROME;;BRACHYDACTYLY DUE TO ABSENCE OF DISTAL PHALANGES;;ERONEN SYNDROME					HP:0000252	Microcephaly			IEA	IEA						OMIM-CS:HEAD AND NECK_HEAD > MICROCEPHALY	OMIM:220500	HPO:skoehler	17.10.2012
OMIM:220500	%220500 DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATIONSYNDROME;;DOOR SYNDROME;;DIGITORENOCEREBRAL SYNDROME;;DRC SYNDROME;;BRACHYDACTYLY DUE TO ABSENCE OF DISTAL PHALANGES;;ERONEN SYNDROME					HP:0003676	Progressive disorder			IEA	IEA						OMIM-CS:MISCELLANEOUS > PROGRESSIVE DISORDER	OMIM:220500	HPO:skoehler	17.10.2012
OMIM:220500	%220500 DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATIONSYNDROME;;DOOR SYNDROME;;DIGITORENOCEREBRAL SYNDROME;;DRC SYNDROME;;BRACHYDACTYLY DUE TO ABSENCE OF DISTAL PHALANGES;;ERONEN SYNDROME					HP:0002059	Cerebral atrophy			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > CEREBRAL ATROPHY	OMIM:220500	HPO:skoehler	17.10.2012
OMIM:220500	%220500 DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATIONSYNDROME;;DOOR SYNDROME;;DIGITORENOCEREBRAL SYNDROME;;DRC SYNDROME;;BRACHYDACTYLY DUE TO ABSENCE OF DISTAL PHALANGES;;ERONEN SYNDROME					HP:0002119	Ventriculomegaly			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > DILATED VENTRICLES	OMIM:220500	HPO:skoehler	17.10.2012
OMIM:220500	%220500 DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATIONSYNDROME;;DOOR SYNDROME;;DIGITORENOCEREBRAL SYNDROME;;DRC SYNDROME;;BRACHYDACTYLY DUE TO ABSENCE OF DISTAL PHALANGES;;ERONEN SYNDROME					HP:0001265	Hyporeflexia			IEA	IEA						OMIM-CS:NEUROLOGIC_PERIPHERAL NERVOUS SYSTEM > HYPOREFLEXIA	OMIM:220500	HPO:skoehler	17.10.2012
OMIM:220500	%220500 DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATIONSYNDROME;;DOOR SYNDROME;;DIGITORENOCEREBRAL SYNDROME;;DRC SYNDROME;;BRACHYDACTYLY DUE TO ABSENCE OF DISTAL PHALANGES;;ERONEN SYNDROME					HP:0002564	Malformation of the heart and great vessels			IEA	IEA	rare					OMIM-CS:CARDIOVASCULAR_HEART > CONGENITAL HEART DEFECTS (LESS COMMON)	OMIM:220500	HPO:skoehler	18.11.2012
OMIM:220500	%220500 DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATIONSYNDROME;;DOOR SYNDROME;;DIGITORENOCEREBRAL SYNDROME;;DRC SYNDROME;;BRACHYDACTYLY DUE TO ABSENCE OF DISTAL PHALANGES;;ERONEN SYNDROME					HP:0000800	Cystic renal dysplasia			IEA	IEA	rare					OMIM-CS:GENITOURINARY_KIDNEYS > CYSTIC RENAL DYSPLASIA (LESS COMMON)	OMIM:220500	HPO:skoehler	18.11.2012
OMIM:220500	%220500 DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATIONSYNDROME;;DOOR SYNDROME;;DIGITORENOCEREBRAL SYNDROME;;DRC SYNDROME;;BRACHYDACTYLY DUE TO ABSENCE OF DISTAL PHALANGES;;ERONEN SYNDROME					HP:0001305	Dandy-Walker malformation			IEA	IEA	rare					OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > DANDY-WALKER MALFORMATION (RARE)	OMIM:220500	HPO:skoehler	18.11.2012
OMIM:220500	%220500 DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, AND MENTAL RETARDATIONSYNDROME;;DOOR SYNDROME;;DIGITORENOCEREBRAL SYNDROME;;DRC SYNDROME;;BRACHYDACTYLY DUE TO ABSENCE OF DISTAL PHALANGES;;ERONEN SYNDROME					HP:0000104	Renal agenesis			IEA	IEA	rare					OMIM-CS:GENITOURINARY_KIDNEYS > RENAL APLASIA (LESS COMMON)	OMIM:220500	HPO:skoehler	18.04.2013
