Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:242840	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM					HP:0000007	Autosomal recessive inheritance			IEA	IEA							OMIM:242840	HPO	17.02.2009	
OMIM:242840	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM					HP:0002205	Recurrent respiratory infections			IEA	IEA							OMIM:242840	SKOEHLER	20.06.2010	
OMIM:242840	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM					HP:0002533	Abnormal posturing			IEA	IEA							OMIM:242840	HPO	17.02.2009	
OMIM:242840	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM					HP:0002728	Chronic mucocutaneous candidiasis			IEA	IEA							OMIM:242840	HPO	17.02.2009	
OMIM:242840	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM					HP:0005419	Decreased T cell activation			IEA	IEA							OMIM:242840	HPO	17.02.2009	
OMIM:242840	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM					HP:0005427	Lack of delayed skin hypersensitivity reaction			IEA	IEA							OMIM:242840	HPO	17.02.2009	
OMIM:242840	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM					HP:0005599	Hypopigmentation of hair			IEA	IEA							OMIM:242840	HPO	17.02.2009	
OMIM:242840	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM					HP:0007314	White matter neuronal heterotopia			IEA	IEA							OMIM:242840	HPO	17.02.2009	
OMIM:242840	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM					HP:0007894	Hypopigmentation of the fundus			IEA	IEA							OMIM:242840	HPO	17.02.2009	
OMIM:242840	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM					HP:0008348	Reduced IgG levels, particularly the IgG2 subclass			IEA	IEA							OMIM:242840	HPO	17.02.2009	
OMIM:242840	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM					HP:0010636	Schizencephaly			IEA	IEA							OMIM:242840	SKOEHLER	20.06.2010	
OMIM:242840	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM					HP:0002721	Immunodeficiency			TAS	TAS							OMIM:242840	probinson	26.04.2012	
OMIM:242840	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM					HP:0002718	Recurrent bacterial infections			TAS	TAS							OMIM:242840	probinson	26.04.2012	
OMIM:242840	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM					HP:0004429	Recurrent viral infections			TAS	TAS							OMIM:242840	probinson	26.04.2012	
OMIM:242840	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM					HP:0002841	Recurrent fungal infections			TAS	TAS							OMIM:242840	probinson	26.04.2012	
OMIM:242840	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM					HP:0003244	Penile hypospadias			TAS	TAS							OMIM:242840	probinson	26.04.2012	
OMIM:242840	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM					HP:0004315	Decreased IgG level			TAS	TAS							OMIM:242840	probinson	06.05.2012	
OMIM:242840	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM					HP:0005407	Decreased number of CD4+ T cells			TAS	TAS							OMIM:242840	probinson	06.05.2012	
OMIM:242840	%242840 IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM;;VICI SYNDROME					HP:0001712	Left ventricular hypertrophy			IEA	IEA						OMIM-CS:CARDIOVASCULAR_HEART > LEFT VENTRICULAR HYPERTROPHY	OMIM:242840	HPO:skoehler	17.10.2012
OMIM:242840	%242840 IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM;;VICI SYNDROME					HP:0000369	Low-set ears			IEA	IEA						OMIM-CS:HEAD AND NECK_EARS > LOW-SET EARS	OMIM:242840	HPO:skoehler	17.10.2012
OMIM:242840	%242840 IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM;;VICI SYNDROME					HP:0003577	Congenital onset			IEA	IEA						OMIM-CS:MISCELLANEOUS > ONSET AT BIRTH	OMIM:242840	HPO:skoehler	17.10.2012
OMIM:242840	%242840 IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM;;VICI SYNDROME					HP:0003198	Myopathy			IEA	IEA						OMIM-CS:MUSCLE, SOFT TISSUE > MYOPATHY	OMIM:242840	HPO:skoehler	17.10.2012
OMIM:242840	%242840 IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM;;VICI SYNDROME					HP:0001941	Acidosis			IEA	IEA						OMIM-CS:GENITOURINARY_KIDNEY > RENAL TUBULAR ACIDOSIS (2 SIBS)	OMIM:242840	HPO:skoehler	22.01.2013
OMIM:242840	%242840 IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM;;VICI SYNDROME					HP:0001510	Growth delay			IEA	IEA						OMIM-CS:GROWTH_OTHER > POST NATAL GROWTH RETARDATION	OMIM:242840	HPO:skoehler	22.01.2013
OMIM:242840	%242840 IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM;;VICI SYNDROME					HP:0001270	Motor delay			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > PROFOUND PSYCHOMOTOR RETARDATION	OMIM:242840	HPO:skoehler	22.01.2013
OMIM:242840	%242840 IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM;;VICI SYNDROME					HP:0001022	Albinism			IEA	IEA						OMIM-CS:SKIN, NAILS, HAIR_SKIN > CUTANEOUS ALBINISM	OMIM:242840	HPO:skoehler	22.01.2013
OMIM:242840	#242840 VICI SYNDROME; VICIS;;IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM					HP:0001644	Dilated cardiomyopathy			IEA	IEA						OMIM-CS:CARDIOVASCULAR_HEART > CARDIOMYOPATHY, DILATED	OMIM:242840	HPO:skoehler	08.03.2013
OMIM:242840	#242840 VICI SYNDROME; VICIS;;IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION,AND ABSENT CORPUS CALLOSUM					HP:0000639	Nystagmus			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > NYSTAGMUS	OMIM:242840	HPO:skoehler	08.03.2013
