Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Negation ID	Negation Name	Description	Orthologs	Pub	Date Created	
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0003431	Decreased motor nerve conduction velocity (NCV)									TAS								OMIM:606002	17.02.2009
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0003676	Progressive disorder									TAS								OMIM:606002	17.02.2009
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0003693	Distal amyotrophy	_:distal_muscle	null	PATO:0001623	atrophied					PCS	10/10							PMID:16636238	17.02.2009
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0003814	Variable severity									TAS								OMIM:606002	17.02.2009
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0004435	Hypergammaglobulinemia									TAS								OMIM:606002	17.02.2009
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0006254	Elevated alpha-fetoprotein									PCS	6/6							PMID:16636238	17.02.2009
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0006879	Pontocerebellar atrophy									TAS								OMIM:606002	17.02.2009
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0006886	Decreased distal vibration sense									PCS								PMID:16636238	17.02.2009
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0006981	Decreased distal touch sense									TAS	57%							OMIM:606002	17.02.2009
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0000639	Nystagmus									PCS	8/10							PMID:16636238	07.09.2010
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0001272	Cerebellar atrophy									PCS	8/8							PMID:16636238	07.09.2010
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0010831	Impaired proprioception									PCS	10/10							PMID:16636238	07.09.2010
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0003477	Axonal neuropathy									PCS	8/8							PMID:16636238	07.09.2010
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0000657	Oculomotor apraxia									PCS	10/18							PMID:14736755	08.09.2010
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0000657	Oculomotor apraxia									PCS	6/19							PMID:19141356	08.09.2010
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0001315	Reduced reflexes									PCS	18/18							PMID:14736755	08.09.2010
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0002066	Gait ataxia									PCS	13/18							PMID:14736755	08.09.2010
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0002072	Chorea									TAS	4/18							OMIM:606002	08.09.2010
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0001332	Dystonia									PCS	5/18							PMS:14736755	08.09.2010
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0002346	Head tremor									PCS	2/18							PMID:14736755	08.09.2010
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0006254	Elevated alpha-fetoprotein									PCS	18/18							PMID:14736755	08.09.2010
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0001272	Cerebellar atrophy									PCS	18/18							PMID:14736755	08.09.2010
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0000639	Nystagmus									PCS	7/19							PMID:19141356	08.09.2010
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0001284	Areflexia									PCS	17/19							PMID:19141356	08.09.2010
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0001284	Areflexia									PCS	14/18							PMID:14736755	08.09.2010
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0002467	Decreased deep tendon reflexes									PCS	4/18							PMID:14736755	08.09.2010
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0002346	Head tremor									PCS	5/19							PMID:19141356	08.09.2010
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0001272	Cerebellar atrophy									PCS	13/13							PMID:19141356	08.09.2010
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0006254	Elevated alpha-fetoprotein									PCS	19/19							PMID:19141356	08.09.2010
